epoch,train_loss,val_loss,iou_background,iou_crop,iou_weed,miou
1,1.2475,1.1793,0.3962,0.3543,0.0546,0.2684
2,0.9724,0.8876,0.6659,0.5011,0.0762,0.4144
3,0.8437,0.749,0.8056,0.707,0.135,0.5492
4,0.7681,0.7012,0.8364,0.796,0.1698,0.6008
5,0.7022,0.6379,0.9019,0.8145,0.2512,0.6559
6,0.6625,0.5805,0.9471,0.8553,0.392,0.7315
7,0.615,0.5557,0.9545,0.8647,0.4536,0.7576
8,0.6148,0.5307,0.9642,0.866,0.5096,0.7799
9,0.575,0.5161,0.9574,0.8705,0.4881,0.772
10,0.5321,0.4958,0.9672,0.8692,0.5399,0.7921
11,0.5389,0.4792,0.9669,0.8678,0.5552,0.7966
12,0.5068,0.4851,0.9506,0.874,0.4561,0.7603
13,0.4955,0.4561,0.9677,0.8671,0.5547,0.7965
14,0.4613,0.4477,0.9682,0.8686,0.5381,0.7916
15,0.4629,0.4261,0.9698,0.88,0.5967,0.8155
16,0.4478,0.4206,0.9683,0.8699,0.5539,0.7974
17,0.4313,0.4066,0.9691,0.8841,0.5951,0.8161
18,0.4252,0.4004,0.9698,0.874,0.5801,0.808
19,0.4092,0.3891,0.9699,0.8807,0.5981,0.8162
20,0.4051,0.3835,0.9699,0.8712,0.588,0.8097
21,0.3839,0.3789,0.9706,0.8763,0.5868,0.8113
22,0.3783,0.3691,0.9676,0.8845,0.5924,0.8148
23,0.3637,0.3632,0.9707,0.8813,0.5716,0.8078
24,0.3547,0.3499,0.9697,0.8856,0.6061,0.8205
25,0.3564,0.345,0.9698,0.883,0.6114,0.8214
26,0.3423,0.3375,0.9704,0.8817,0.6098,0.8206
27,0.3452,0.3339,0.9711,0.884,0.6088,0.8213
28,0.3362,0.3302,0.9695,0.8751,0.6006,0.8151
29,0.3251,0.3411,0.9699,0.8663,0.5711,0.8024
30,0.2922,0.323,0.9698,0.8776,0.6027,0.8167
31,0.3101,0.3136,0.9702,0.8834,0.6111,0.8216
32,0.279,0.3078,0.97,0.886,0.6067,0.8209
33,0.2982,0.3029,0.9691,0.8861,0.6023,0.8192
34,0.2778,0.3024,0.971,0.8801,0.5999,0.817
35,0.2714,0.2987,0.9714,0.8789,0.604,0.8181
36,0.2684,0.289,0.9702,0.8792,0.6132,0.8209
37,0.2491,0.2826,0.9701,0.8854,0.6135,0.823
38,0.2625,0.2885,0.9698,0.8772,0.585,0.8106
39,0.2512,0.2788,0.9708,0.884,0.6028,0.8192
40,0.2435,0.2768,0.9716,0.8822,0.6027,0.8188
41,0.2488,0.2679,0.9717,0.8878,0.616,0.8252
42,0.2459,0.3227,0.9523,0.789,0.596,0.7791
43,0.2326,0.2672,0.9711,0.8766,0.6038,0.8172
44,0.2188,0.2642,0.972,0.8854,0.6064,0.8213
45,0.2329,0.2579,0.9715,0.8846,0.6089,0.8217
46,0.21,0.2587,0.971,0.8801,0.604,0.8184
47,0.2185,0.2539,0.9714,0.8868,0.6125,0.8235
48,0.2234,0.2717,0.9716,0.8651,0.5556,0.7975
49,0.1913,0.2485,0.9722,0.8836,0.6089,0.8216
50,0.2122,0.2504,0.9713,0.8845,0.6041,0.82
51,0.2005,0.2399,0.9701,0.8875,0.6137,0.8237
52,0.196,0.2434,0.9711,0.8872,0.6144,0.8242
53,0.1981,0.2663,0.9713,0.857,0.556,0.7948
54,0.2037,0.2649,0.9702,0.8582,0.5369,0.7884
55,0.1924,0.2484,0.9671,0.8672,0.5901,0.8081
56,0.196,0.2514,0.9688,0.8786,0.5798,0.8091
57,0.1987,0.2363,0.9714,0.8848,0.6097,0.822
58,0.1896,0.259,0.9645,0.8397,0.6067,0.8036
59,0.2101,0.2459,0.9656,0.8432,0.6201,0.8097
60,0.2245,0.2425,0.9698,0.8655,0.6056,0.8136
61,0.1801,0.2325,0.9713,0.8838,0.6049,0.82
62,0.1719,0.2252,0.9721,0.8848,0.6164,0.8244
63,0.1676,0.2242,0.9714,0.8828,0.6063,0.8202
64,0.1679,0.2293,0.9712,0.8768,0.5893,0.8124
65,0.1609,0.2238,0.972,0.8818,0.6114,0.8217
66,0.1582,0.217,0.9717,0.8887,0.6211,0.8272
67,0.1575,0.2234,0.9712,0.8848,0.6005,0.8189
68,0.1498,0.2208,0.9719,0.8813,0.601,0.8181
69,0.1511,0.221,0.9713,0.8775,0.6059,0.8183
70,0.1487,0.221,0.9722,0.8852,0.6012,0.8195
71,0.1375,0.2197,0.9718,0.8812,0.5966,0.8165
72,0.1421,0.2202,0.9718,0.8817,0.5965,0.8167
73,0.1426,0.2235,0.9703,0.8717,0.5953,0.8124
74,0.1495,0.2158,0.97,0.8737,0.617,0.8203
75,0.1467,0.2164,0.9724,0.883,0.597,0.8175
76,0.1325,0.2303,0.9714,0.8687,0.5703,0.8035
77,0.1384,0.2089,0.9724,0.8853,0.6108,0.8228
78,0.1368,0.2231,0.9713,0.8745,0.5862,0.8107
79,0.1408,0.2246,0.972,0.8787,0.5921,0.8142
80,0.1226,0.2149,0.9725,0.8844,0.6097,0.8222
81,0.1263,0.2071,0.972,0.887,0.6207,0.8266
82,0.1251,0.209,0.9717,0.8871,0.6191,0.826
83,0.1254,0.2142,0.9717,0.8806,0.6121,0.8214
84,0.1276,0.2157,0.9703,0.8749,0.6084,0.8179
85,0.1187,0.2133,0.9718,0.8846,0.601,0.8191
86,0.1226,0.23,0.9718,0.8718,0.5658,0.8031
87,0.1201,0.2173,0.9696,0.8694,0.6172,0.8188
88,0.1281,0.2447,0.9719,0.8625,0.5316,0.7886
89,0.1152,0.2254,0.972,0.8716,0.5667,0.8034
90,0.122,0.2105,0.9717,0.8833,0.614,0.823
91,0.1314,0.226,0.9713,0.869,0.597,0.8124
92,0.1797,0.2357,0.9665,0.8565,0.6057,0.8096
93,0.1433,0.2234,0.9697,0.8763,0.5877,0.8113
94,0.1504,0.2291,0.9652,0.8848,0.5526,0.8008
95,0.1338,0.2407,0.9721,0.8648,0.5255,0.7875
96,0.1642,0.2252,0.9693,0.8612,0.5747,0.8017
97,0.1347,0.2206,0.9703,0.879,0.5943,0.8145
98,0.1441,0.2172,0.9695,0.8701,0.61,0.8165
99,0.1333,0.2208,0.9711,0.8749,0.5777,0.8079
100,0.1385,0.2249,0.9693,0.8625,0.5894,0.8071
